Immobilienart;Region;Zeitabschnitt;Anzahl_Mittel;Index_final
gebrauchte Eigenheime;4104;2000_1;116;
gebrauchte Eigenheime;4104;2000_2;140;110,556517
gebrauchte Eigenheime;4104;2000_3;140;109,4982626
gebrauchte Eigenheime;4104;2000_4;128;108,1668893
gebrauchte Eigenheime;4104;2001_1;138;107,0290648
gebrauchte Eigenheime;4104;2001_2;178;106,9929935
gebrauchte Eigenheime;4104;2001_3;164;106,7298444
gebrauchte Eigenheime;4104;2001_4;146;106,3555361
gebrauchte Eigenheime;4104;2002_1;110;106,6310633
gebrauchte Eigenheime;4104;2002_2;143;105,9970992
gebrauchte Eigenheime;4104;2002_3;160;105,3210736
gebrauchte Eigenheime;4104;2002_4;220;105,0527046
gebrauchte Eigenheime;4104;2003_1;115;104,8329067
gebrauchte Eigenheime;4104;2003_2;143;104,4875977
gebrauchte Eigenheime;4104;2003_3;172;103,5747154
gebrauchte Eigenheime;4104;2003_4;203;103,4786857
gebrauchte Eigenheime;4104;2004_1;85;104,0347231
gebrauchte Eigenheime;4104;2004_2;115;103,4884912
gebrauchte Eigenheime;4104;2004_3;174;101,5077057
gebrauchte Eigenheime;4104;2004_4;156;100,1981321
gebrauchte Eigenheime;4104;2005_1;89;101,6589067
gebrauchte Eigenheime;4104;2005_2;136;103,0453456
gebrauchte Eigenheime;4104;2005_3;136,5;101,8698152
gebrauchte Eigenheime;4104;2005_4;220;101,4931257
gebrauchte Eigenheime;4104;2006_1;69,5;103,131001
gebrauchte Eigenheime;4104;2006_2;102,5;102,6914165
gebrauchte Eigenheime;4104;2006_3;112;98,38137764
gebrauchte Eigenheime;4104;2006_4;127,5;95,99553331
gebrauchte Eigenheime;4104;2007_1;102;96,85778838
gebrauchte Eigenheime;4104;2007_2;154,5;97,69873949
gebrauchte Eigenheime;4104;2007_3;158;96,86511792
gebrauchte Eigenheime;4104;2007_4;118,5;96,69935837
gebrauchte Eigenheime;4104;2008_1;105,5;98,09893357
gebrauchte Eigenheime;4104;2008_2;137,5;97,8473923
gebrauchte Eigenheime;4104;2008_3;144,5;96,81269789
gebrauchte Eigenheime;4104;2008_4;122;96,6474751
gebrauchte Eigenheime;4104;2009_1;110;97,68069872
gebrauchte Eigenheime;4104;2009_2;125;98,64053059
gebrauchte Eigenheime;4104;2009_3;126;98,5981357
gebrauchte Eigenheime;4104;2009_4;126;99,31361806
gebrauchte Eigenheime;4104;2010_1;127;100
gebrauchte Eigenheime;4104;2010_2;149,6666667;99,51998385
gebrauchte Eigenheime;4104;2010_3;147;99,51412267
gebrauchte Eigenheime;4104;2010_4;164;100,9430367
gebrauchte Eigenheime;4104;2011_1;141;103,7484155
gebrauchte Eigenheime;4104;2011_2;161,5;105,9637891
gebrauchte Eigenheime;4104;2011_3;175;107,2883087
gebrauchte Eigenheime;4104;2011_4;163;108,7437117
gebrauchte Eigenheime;4104;2012_1;156;109,5419781
gebrauchte Eigenheime;4104;2012_2;149;110,616389
gebrauchte Eigenheime;4104;2012_3;185;113,1790722
gebrauchte Eigenheime;4104;2012_4;161,5;115,0981347
gebrauchte Eigenheime;4104;2013_1;147,5;115,8322249
gebrauchte Eigenheime;4104;2013_2;175,5;117,5097171
gebrauchte Eigenheime;4104;2013_3;182,5;119,652644
gebrauchte Eigenheime;4104;2013_4;156;120,853393
gebrauchte Eigenheime;4104;2014_1;114;121,2861346
gebrauchte Eigenheime;4104;2014_2;132;123,0543416
gebrauchte Eigenheime;4104;2014_3;142,5;125,2534225
gebrauchte Eigenheime;4104;2014_4;154;126,2465375
gebrauchte Eigenheime;4104;2015_1;160,5;126,9626982
gebrauchte Eigenheime;4104;2015_2;154,5;127,963847
gebrauchte Eigenheime;4104;2015_3;129,5;130,4176937
gebrauchte Eigenheime;4104;2015_4;132,5;135,6113444
gebrauchte Eigenheime;4104;2016_1;110;141,6138062
gebrauchte Eigenheime;4104;2016_2;125;145,7943986
gebrauchte Eigenheime;4104;2016_3;128;148,7723042
gebrauchte Eigenheime;4104;2016_4;142;152,2317325
gebrauchte Eigenheime;4104;2017_1;127;153,4849198
gebrauchte Eigenheime;4104;2017_2;136;155,699425
gebrauchte Eigenheime;4104;2017_3;150;158,2768258
gebrauchte Eigenheime;4104;2017_4;177;162,2585226
gebrauchte Eigenheime;4104;2018_1;151;163,9211558
gebrauchte Eigenheime;4104;2018_2;188;165,0212657
gebrauchte Eigenheime;4104;2018_3;154;169,0018931
gebrauchte Eigenheime;4104;2018_4;129;
gebrauchte Eigenheime;4104;2019_1;;
gebrauchte Eigenheime;4104;2019_2;;
gebrauchte Eigenheime;4104;2019_3;;
gebrauchte Eigenheime;4104;2019_4;;
gebrauchte Eigenheime;4104;2020_1;;
